0.000000000000000000e+00 4.599518711678683758e+00 3.536297148891857756e+00
1.000000000000000000e+00 3.785439308034256101e+00 2.865627916795866703e+00
2.000000000000000000e+00 3.165682468912564218e+00 2.210185804005180277e+00
3.000000000000000000e+00 2.620472382957814261e+00 1.768693653068372118e+00
4.000000000000000000e+00 2.254145012717344798e+00 1.528066984776939696e+00
5.000000000000000000e+00 2.012519122894445900e+00 1.363140647432633745e+00
6.000000000000000000e+00 1.827689218707746477e+00 1.224831543862819672e+00
7.000000000000000000e+00 1.668662776104611112e+00 1.100288313680461538e+00
8.000000000000000000e+00 1.523718950229522306e+00 9.860949047974177928e-01
9.000000000000000000e+00 1.389639954276844946e+00 8.821721537304776373e-01
1.000000000000000000e+01 1.266881548348465003e+00 7.895597607961722941e-01
1.100000000000000000e+01 1.157141106822564325e+00 7.092595818851675782e-01
1.200000000000000000e+01 1.061899829869616951e+00 6.416323953973395167e-01
1.300000000000000000e+01 9.816879081781735294e-01 5.862509552389383316e-01
1.400000000000000000e+01 9.158882358121900324e-01 5.420037188700267405e-01
1.500000000000000000e+01 8.629769935537296988e-01 5.073570931064230738e-01
1.600000000000000000e+01 8.208942466453663656e-01 4.806173856237104802e-01
1.700000000000000000e+01 7.874834641497727716e-01 4.601854453129427536e-01
1.800000000000000000e+01 7.607624710872187279e-01 4.446627987282616989e-01
1.900000000000000000e+01 7.390628814982846961e-01 4.329263174108096690e-01
2.000000000000000000e+01 7.210839358031080337e-01 4.240973083568470581e-01
2.100000000000000000e+01 7.058402486309205415e-01 4.175240088786397741e-01
2.200000000000000000e+01 6.926202930708313943e-01 4.127332347312143712e-01
2.300000000000000000e+01 6.809110126014275011e-01 4.093641843646764755e-01
2.400000000000000000e+01 6.703495681413187413e-01 4.071539690984146698e-01
2.500000000000000000e+01 6.606862595999700716e-01 4.058963339775800705e-01
2.600000000000000000e+01 6.517396182052834774e-01 4.054150057158300013e-01
2.700000000000000000e+01 6.433820475613174494e-01 4.055701957217284770e-01
2.800000000000000000e+01 6.355377314321231097e-01 4.062330217233726115e-01
2.900000000000000000e+01 6.281423522323166253e-01 4.072972685098648071e-01
