Group,Weighting,Subsystem,ncount,mae,rmae,rmse,rrmse,ssr,rsq
*ALL,Unweighted,Combined,367900,394.7305013422466,0.08047583820818233,5848.7016446974385,0.14931497233224622,12584869690663.771,0.9777050390374206
*ALL,Unweighted,Energy,1894,0.003311685382989471,0.009556368233500156,0.0073732764481112606,0.010691163877275115,0.10296769936903558,0.9998856990149493
*ALL,Unweighted,Force,354642,0.06751981842428376,0.4983469265593897,0.30614563863937294,0.7980509775798287,33238.87537612114,0.3631146371838798
*ALL,Unweighted,Stress,11364,12776.962320312807,0.08059239363487673,33278.117314452116,0.2011993316983416,12584869657424.791,0.9595188289241408
*ALL,Weighted,Combined,367900,268.43843289964286,0.005921876494756183,519.5606551258614,0.0005434712122945379,99312130635.13618,0.9999997046390414
*ALL,Weighted,Energy,1894,1444.1139925595808,0.00020989391902994706,2526.094371913666,0.00024199414305835497,12085903357.391521,0.9999999414388347
*ALL,Weighted,Force,354642,270.761352467349,0.09812032135660896,495.9392268093165,0.014496329469334298,87226227277.74467,0.9997898564319165
*ALL,Weighted,Stress,11364,1.2776962320312807e-08,0.08059239363487673,3.327811731445211e-08,0.20119933169834153,1.258486965742479e-11,0.9595188289241408
Bulk,Unweighted,Combined,31,17.383862857901168,0.000546775672376865,55.881240680667894,0.0005753251716165771,96804.1048603327,0.999999669000947
Bulk,Unweighted,Energy,1,0.0005793801475135751,inf,0.0005793801475135751,inf,3.3568135533285207e-07,-inf
Bulk,Unweighted,Force,24,4.052237808652887e-15,1.531481556437896,4.903462979624537e-15,1.245574167735671,5.770547806211604e-28,-0.5514550073304099
Bulk,Unweighted,Stress,6,89.81652820246477,0.0005467783004953329,127.01975230910416,0.0007732612881712812,96804.10485999704,0.9999994020669802
Bulk,Weighted,Combined,31,13.965661788709546,9.994581504501505e-05,77.75751398230236,0.00010159792387492357,187433.1604019463,0.9999999896778619
Bulk,Weighted,Energy,1,432.93551529198885,inf,432.93551529198885,inf,187433.1604011399,-inf
Bulk,Weighted,Force,24,6.52237124937269e-09,1.531481556437896,7.892480024833116e-09,1.2455741677356713,1.4949897826173536e-15,-0.5514550073304092
